posted_date,occurrence_date,time,city,state,shape,duration,summary
7/23/17,7/21/17,22:00,Deltona,FL,Other,2 minutes,A ship was in the sky visible for about 30 to 45 seconds before disappearing it shot a green laser dart down to land.
7/23/17,7/14/17,22:30,Jacksonville,FL,Cigar,Seconds,Flash of solid body with trail. Anomalous movement.
7/14/17,7/7/17,21:21,Ocoee,FL,Light,5 minutes,3 orange-ish red lights hovering for five minutes.
7/14/17,7/4/17,21:40,Orange Park,FL,Circle,1-2 minutes,One reddish/green orb flying southeast to northwest in the sky.
7/7/17,7/3/17,20:30,Miami Beach,FL,Circle,1-2 hours,Noticed a small dot similar to the size of a star or satellite.
7/7/17,6/25/17,19:00,North Port,FL,Circle,5 minutes,2-blue lights no bigger than an egg. In the center of was a black object. Made no sound. Lots of wind.
7/7/17,6/23/17,23:30,Miami,FL,Light,4 seconds,Lights flashing across their sky.
7/7/17,6/23/17,17:15,Jacksonville,FL,Circle,2 minutes,Orb seen in eastern sky.
7/7/17,9/9/14,10:30,Hastings,FL,Oval,10 minutes,Dreadlock aliens seen dancing in the clouds.
6/15/17,6/11/17,23:14,Lantana,FL,Oval,2:00,Last night my wife and looked at the moon and noticed a large football-shaped object in the sky. I initially thought it was a balloon.
6/2/17,6/1/17,20:00,Jacksonville,FL,Formation,4 minutes,Very dark Gray craft heading west on a direct path. Object appeared to turn into 3 shapes and then back into one solid object again.
6/2/17,4/1/17,12:40,Gainesville,FL,Sphere,30 seconds,Two metal spheres following an airplane.
6/2/17,1/3/12,03:00,Ft. Lauderdale,FL,Chevron,5 minutes,Very large V-shaped object. blended in with sky seemed to float in direction headed W. Seemed low to ground.
5/15/17,5/13/17,04:59,Lake Worth,FL,Circle,4 minutes,It was a circular object with a Orange hue that went up Vertical from its original position and phased out only to become invisible.
5/15/17,5/12/17,21:00,Deltona,FL,Disk,90 seconds,I have a video of a flying saucer but don't know how to share it. It was insane.
5/11/17,5/7/17,00:40,Port St. Lucie,FL,Light,10 minutes,White Light traveling pin point craft making full stops changing in a zig zag pattern.
5/6/17,4/26/17,02:00,Cape Coral,FL,Other,1 minute,Two of us by the pool. Talking about the divine way in which we met! When instantly something appears far out and slowly shoots.
5/6/17,4/21/17,22:23,Brandon,FL,Light,2 minutes,Large white Orb being tailed by Fighter Jet.
4/28/17,4/27/17,20:45,Miami,FL,Light,45 seconds,Single point of light traveling from N to S passing the zenith after about 20 seconds.
4/28/17,4/26/17,00:00,Largo,FL,Changing,10-15 seconds,I notice what appears to look like a dark colored plane with all the windows lit like the lights were on in the plane.
4/28/17,4/25/17,23:50,Port Charlotte,FL,Circle,~5 minutes,Clear full of stars; then I saw this white ball shape with red and orange flames flew accross the sky.
4/28/17,4/25/17,23:45,Clearwater,FL,Light,20 seconds,Bright green lights moving west to east.
4/28/17,4/25/17,23:45,Plantation,FL,Cross,3 seconds,UFO sighted over the Everglades in Broward County.
4/28/17,4/25/17,23:45,Apollo Beach,FL,Circle,30 seconds,High speed circular object moving at high speed west to east just south of MacDill AFB.
4/20/17,4/13/17,23:28,Sawgrass area,FL,Circle,5-10 minutes,Sawgrass area round orange bright.
4/20/17,4/13/17,22:30,Clermont,FL,Sphere,3-4 minutes,Bright orange/red glowing object that moved from the E to the W across the clear night sky.
4/20/17,4/8/17,21:10,St. Petersburg,FL,Light,5 minutes,Multiply flying lights.
4/13/17,9/12/12,20:00,Winter Haven,FL,Formation,45 seconds,10 perfectly spaced bright golden orange orbs as big as the sun changed from an E-W to a N-S position in the blink of an eye.
4/7/17,4/1/17,18:00,St. Petersburg,FL,Sphere,4-5 minutes,2 metallic spheres floating and constantly rotating stationary for about 5 minutes. Completely silent. Directly above each other.
4/7/17,3/29/17,20:30,Largo,FL,Sphere,5 minutes,Red light moving at extreme speeds over Largo.
4/7/17,3/28/17,06:15,Fleming Island,FL,Unknown,30 minutes,My boyfriend woke me to say he was on his way to work. After he left I was half awake and noticed a very high pitched sound.
4/7/17,3/25/17,23:00,Orange Spring,FL,Circle,1 minute,Round light went straight up east of me did a 90° turn went over me and went west to the gulf and disappeared.
4/7/17,12/29/16,11:00,Miami,FL,Unknown,5 minutes,Daylight glinting UFO spotted.
3/23/17,3/21/17,17:30,Weston,FL,Flash,45 minutes,Shining at brief moments very intense reflection.
3/23/17,3/20/17,22:10,St. Augustine,FL,Triangle,20 seconds,Same huge triangle seen again 5 days later.
3/23/17,3/18/17,19:00,Port Saint Lucie,FL,Sphere,3 minutes,I watched an orangish orb slowly move across the clear night sky.
3/17/17,3/15/17,21:00,St. Augustine,FL,Triangle,1 minute,Huge flying triangle.
3/10/17,3/6/17,19:11,Ft. Lauderdale,FL,Circle,10 seconds,Amazing.
3/10/17,2/25/17,14:00,Delray Beach,FL,Unknown,30 + minutes,Four spheres over ocean at Delray Beach.
3/10/17,12/31/16,22:00,New Smyrna Beach,FL,Circle,don't know,I was walking my dog when he stopped. My dog was staring into the sky. I saw cluster of lights forming a large circle.
3/10/17,4/7/12,22:15,Orlando,FL,Circle,10-15 minutes,I noticed numerous circular objects surrounded by lights [magenta in color] in the sky. They moved and hovered like helicopters.
2/22/17,2/20/17,19:20,Merritt Island,FL,Circle,40+,Large orange orb not moving in the sky for at least 40 minutes and still there.
2/22/17,2/19/17,11:00,St. Petersburg,FL,Sphere,<1 second,Round UFO may be related to flashing star-like ufo that reacted to laser pointer.
2/17/17,2/12/17,08:30,Winter Springs,FL,Cigar,60 seconds,White lit cigar shaped object moving very quickly and effortlessly for a minute before disappearing to the East in the blink of an eye.
2/17/17,2/12/17,02:45,Lithia,FL,Fireball,4 seconds,Large green fireball fall from northeast coast toward southeast.
2/17/17,2/11/17,19:38,Sarasota,FL,Circle,5 minutes,Bright orange flare like objects moving very slowly in night sky.
2/17/17,2/3/17,18:35,Flagler Beach,FL,Triangle,5-10 minutes,Dark Triangular Object Approx 500 ft in width and was NOT a B2. Flagler Beach.
2/10/17,2/6/17,21:00,St. Petersburg,FL,Other,3-4 minutes,Object with two lights moving erratically after green fireball dissipated.
2/10/17,2/3/17,20:33,Sarasota,FL,Circle,4 minutes,Saw Orange glow headed in the South East direction. Seemed to flicker as it got past us.
2/10/17,1/22/01,22:22,Lynn Haven,FL,Disk,hovering,A strange moving light in the sky.
2/3/17,1/30/17,20:15,Oviedo,FL,Circle,Night,I saw the moon and above it was I thought was Venus and there was something green and that's why I took a picture.
1/26/17,1/22/17,19:25,San Antonio,FL,Cigar,seconds,Strange object immerges from dark portal and streaks across sky ahead of oncoming storm and disappears into another dark portal.
1/26/17,1/21/17,18:58,Saint Augustine,FL,Light,14 minutes,I went to get my mail from my mail box at around 6:50 PM and then I saw a dense light on the sky.
1/26/17,1/20/17,20:15,Orlando,FL,Sphere,20 minutes,Orange fireballs over Orlando after satellite launch.
1/26/17,7/14/16,01:50,Apopka,FL,Light,2-5 minutes,Floating light with cone followed by low bass rumbling sound with a different light.
1/19/17,1/12/17,19:30,Tarpon Springs,FL,Triangle,3 minutes,Tarpon Springs Small Triangle Craft.
1/19/17,1/9/17,05:05,Zephyrhills,FL,Circle,10 minutes,A big circle of light was hovering out side my window.
1/6/17,1/1/17,00:30,Pbg,FL,Fireball,25 minutes,10-12 red glowing balls moving 50-70 mph southeast to northwest.
1/6/17,12/31/16,19:41,Lutz,FL,Formation,20 seconds,Red star formation.
12/15/16,12/13/16,21:15,Fort Lauderdale,FL,Circle,3 seconds,Rapidly moving green light flying south to north at very rapid pace.
12/15/16,12/7/16,07:00,Orlando,FL,Fireball,45 seconds,I was outside on back porch and saw a bright red orange color looked like a fire ball or exploded something in the air it was eastward.
12/15/16,12/6/16,01:40,Sunrise,FL,Circle,10 minute,Multi Color changing UFO.
12/5/16,11/27/16,19:30,St. Petersburg,FL,Circle,15 minutes,Same light shape 2 different days same approximate time.
12/5/16,11/26/16,22:00,Davenport,FL,Circle,4 minutes,Slow fireball with no tail floating over Central Florida sky.
12/5/16,11/26/16,19:27,Venice,FL,Light,19:27-20:14,UFO spotting in Venice lights.
12/5/16,11/25/16,18:30,Brandon,FL,Fireball,5 minutes,Ufo on fire in sky.
12/5/16,11/24/16,18:30,Oldsmar,FL,Sphere,5 minutes,Strange cream colored sphere that changed from looking like deflated balloon to hard white glass.
